blank,location,eadid,tc_type,tc_indicator,repo,ils_holding_id,barcode,helper
,/locations/23652,MC175,box,73,3,MC175_add331,,331
,/locations/23652,MC175,box,87,3,MC175_add332,,332
,/locations/23652,MC175,box,88,3,MC175_add333,,333
,/locations/23652,MC175,box,89,3,MC175_add334,,334
,/locations/23652,MC175,box,90,3,MC175_add335,,335
,/locations/23649,MC178,box,466,3,MC178_add336,,336
,/locations/23649,MC178,box,467,3,MC178_add337,,337
,/locations/23649,MC178,box,468,3,MC178_add338,,338
,/locations/23649,MC178,box,469,3,MC178_add339,,339
,/locations/23649,MC178,box,470,3,MC178_add340,,340
,/locations/23649,MC178,box,471,3,MC178_add341,,341
,/locations/23649,MC178,box,472,3,MC178_add342,,342
,/locations/23649,MC178,box,473,3,MC178_add343,,343
,/locations/23649,MC178,box,474,3,MC178_add344,,344
,/locations/23649,MC178,box,475,3,MC178_add345,,345
,/locations/23649,MC178,box,476,3,MC178_add346,,346
,/locations/23649,MC178,box,477,3,MC178_add347,,347
,/locations/23649,MC178,box,478,3,MC178_add348,,348
,/locations/23649,MC178,box,479,3,MC178_add349,,349
,/locations/23649,MC178,box,480,3,MC178_add350,,350
,/locations/23649,MC178,box,481,3,MC178_add351,,351
,/locations/23649,MC178,box,482,3,MC178_add352,,352
,/locations/23649,MC178,box,483,3,MC178_add353,,353
,/locations/23649,MC178,box,484,3,MC178_add354,,354
,/locations/23649,MC178,box,485,3,MC178_add355,,355
,/locations/23649,MC178,box,499,3,MC178_add356,,356
,/locations/23649,MC178,box,500,3,MC178_add357,,357
,/locations/23649,MC178,box,501,3,MC178_add358,,358
,/locations/23649,MC178,box,502,3,MC178_add359,,359
,/locations/23649,MC178,box,503,3,MC178_add360,,360
,/locations/23649,MC178,box,504,3,MC178_add361,,361
,/locations/23649,MC178,box,505,3,MC178_add362,,362
,/locations/23649,MC178,box,506,3,MC178_add363,,363
,/locations/23649,MC178,box,507,3,MC178_add364,,364
,/locations/23649,MC178,box,513,3,MC178_add365,,365
,/locations/23649,MC178,box,514,3,MC178_add366,,366
,/locations/23649,MC178,box,515,3,MC178_add367,,367
,/locations/23649,MC178,box,516,3,MC178_add368,,368
,/locations/23649,MC178,box,517,3,MC178_add369,,369
,/locations/23649,MC178,box,518,3,MC178_add370,,370
,/locations/23649,MC178,box,519,3,MC178_add371,,371
,/locations/23649,MC178,box,523,3,MC178_add372,,372
,/locations/23649,MC178,box,524,3,MC178_add373,,373
,/locations/23649,MC178,box,525,3,MC178_add374,,374
,/locations/23649,MC178,box,526,3,MC178_add375,,375
,/locations/23649,MC178,box,527,3,MC178_add376,,376
,/locations/23649,MC178,box,528,3,MC178_add377,,377
,/locations/23649,MC178,box,529,3,MC178_add378,,378
,/locations/23649,MC178,box,531,3,MC178_add379,,379
,/locations/23649,MC178,box,532,3,MC178_add380,,380
,/locations/23649,MC178,box,533,3,MC178_add381,,381
,/locations/23649,MC178,box,666,3,MC178_add382,,382
,/locations/23649,MC178,box,667,3,MC178_add383,,383
,/locations/23649,MC178,box,668,3,MC178_add384,,384
,/locations/23649,MC178,box,669,3,MC178_add385,,385
,/locations/23649,MC178,box,670,3,MC178_add386,,386
,/locations/23649,MC178,box,671,3,MC178_add387,,387
,/locations/23649,MC178,box,675,3,MC178_add388,,388
,/locations/23649,MC178,box,676,3,MC178_add389,,389
,/locations/23649,MC178,box,677,3,MC178_add390,,390
,/locations/23649,MC178,box,678,3,MC178_add391,,391
,/locations/23649,MC178,box,679,3,MC178_add392,,392
,/locations/23649,MC178,box,725,3,MC178_add393,,393
,/locations/23649,MC178,box,726,3,MC178_add394,,394
,/locations/23662,WC038,box,11,6,WC038_add395,,395
