uri,cid,unittitle,unitdate,containers
/repositories/4/archival_objects/1444573,AC187_c00141,1983-1987,1983-1987,box 19 folder 1 
/repositories/4/archival_objects/1444574,AC187_c00142,Auditory Research Laboratory,1975-1979,box 19 folder 2 
/repositories/4/archival_objects/1444575,AC187_c00143,Cognitive Science Program,1984-1986,box 19 folder 3 
/repositories/4/archival_objects/1444576,AC187_c00144,Herrnstein Affair,1972-1973,box 19 folder 4 
/repositories/4/archival_objects/1442667,AC187_c00145,Religion,1972-1987,box 19 folder 5-7 
/repositories/4/archival_objects/1442668,AC187_c00146,Romance Languages and Literatures,1972-1978,box 19 folder 8-10 
/repositories/4/archival_objects/1444577,AC187_c00148,1972-1984,1972-1984,box 19 folder 11 
/repositories/4/archival_objects/1444578,AC187_c00149,1985-1987,1985-1987,box 20 folder 1 
/repositories/4/archival_objects/1442670,AC187_c00150,Sociology,1972-1987,box 20 folder 2-3 
/repositories/4/archival_objects/1442671,AC187_c00151,Statistics,1972-1983,box 20 folder 4-5 
/repositories/4/archival_objects/1442672,AC187_c00153,General,1972-1987,box 20 folder 6-7 
/repositories/4/archival_objects/1442673,AC187_c00154,A-D (by Name),1972-1987,box 20 folder 8-10 
/repositories/4/archival_objects/1444579,AC187_c00156,1972-1984,1972-1984,box 20 folder 11-12 
/repositories/4/archival_objects/1444580,AC187_c00157,1985-1987,1985-1987,box 21 folder 1 
/repositories/4/archival_objects/1442675,AC187_c00158,M-Z (by Name),1972-1987,box 21 folder 2-4 
/repositories/4/archival_objects/1442676,AC187_c00159,Bruce Professorship,1978-1987,box 21 folder 5 
/repositories/4/archival_objects/1442677,AC187_c00160,Class of 1921 Chair,1975-1983,box 21 folder 6 
/repositories/4/archival_objects/1442678,AC187_c00161,David Professorship,1973-1976,box 21 folder 7 
/repositories/4/archival_objects/1442679,AC187_c00162,Einstein Chair,1972-1983,box 21 folder 8 
/repositories/4/archival_objects/1442680,AC187_c00163,Eisenhower Chair,1978-1979,box 21 folder 9 
/repositories/4/archival_objects/1442681,AC187_c00164,Forbes Preceptorship,1983-1984,box 21 folder 10 
/repositories/4/archival_objects/1442682,AC187_c00165,Guggenheim Chair,1973-1987,box 21 folder 11-12 
/repositories/4/archival_objects/1442683,AC187_c00166,Howard and Gardner Foundation Chair,1978-1981,box 21 folder 13 
/repositories/4/archival_objects/1442684,AC187_c00167,MacArthur Prize Fellowships,1980-1987,box 21 folder 14 
