blank,file_uri,uri
,http://findingaids.princeton.edu/folders/MC104.3/c00280.mets,/repositories/3/digital_objects/42466
,http://findingaids.princeton.edu/folders/MC104.3/c00281.mets,/repositories/3/digital_objects/42467
,http://findingaids.princeton.edu/folders/MC104.3/c00282.mets,/repositories/3/digital_objects/42468
,http://findingaids.princeton.edu/folders/MC104.3/c00283.mets,/repositories/3/digital_objects/42469
,http://findingaids.princeton.edu/folders/MC104.3/c00284.mets,/repositories/3/digital_objects/42470
,http://findingaids.princeton.edu/folders/MC104.3/c00285.mets,/repositories/3/digital_objects/42471
,http://findingaids.princeton.edu/folders/MC104.3/c00286.mets,/repositories/3/digital_objects/42472
,http://findingaids.princeton.edu/folders/MC104.3/c00287.mets,/repositories/3/digital_objects/42473
,http://findingaids.princeton.edu/folders/MC104.3/c00288.mets,/repositories/3/digital_objects/42474
,http://findingaids.princeton.edu/folders/MC104.3/c00289.mets,/repositories/3/digital_objects/42475
,http://findingaids.princeton.edu/folders/MC104.3/c00291.mets,/repositories/3/digital_objects/42476
,http://findingaids.princeton.edu/folders/MC104.3/c03242.mets,/repositories/3/digital_objects/42477
,http://findingaids.princeton.edu/folders/MC104.3/c03243.mets,/repositories/3/digital_objects/42478
,http://findingaids.princeton.edu/folders/MC104.3/c03244.mets,/repositories/3/digital_objects/42479
,http://findingaids.princeton.edu/folders/MC104.3/c03245.mets,/repositories/3/digital_objects/42480
,http://findingaids.princeton.edu/folders/MC104.3/c03246.mets,/repositories/3/digital_objects/42481
,http://findingaids.princeton.edu/folders/MC104.3/c00292.mets,/repositories/3/digital_objects/42482
,http://findingaids.princeton.edu/folders/MC104.3/c00293.mets,/repositories/3/digital_objects/42483
,http://findingaids.princeton.edu/folders/MC104.3/c00294.mets,/repositories/3/digital_objects/42484
,http://findingaids.princeton.edu/folders/MC104.3/c00295.mets,/repositories/3/digital_objects/42485
,http://findingaids.princeton.edu/folders/MC104.3/c00296.mets,/repositories/3/digital_objects/42486
,http://findingaids.princeton.edu/folders/MC104.3/c00297.mets,/repositories/3/digital_objects/42487
,http://findingaids.princeton.edu/folders/MC104.3/c00298.mets,/repositories/3/digital_objects/42488
,http://findingaids.princeton.edu/folders/MC104.3/c00299.mets,/repositories/3/digital_objects/42489
,http://findingaids.princeton.edu/folders/MC104.3/c00300.mets,/repositories/3/digital_objects/42490
,http://findingaids.princeton.edu/folders/MC104.3/c00301.mets,/repositories/3/digital_objects/42491
,http://findingaids.princeton.edu/folders/MC104.3/c00302.mets,/repositories/3/digital_objects/42492
,http://findingaids.princeton.edu/folders/MC104.3/c00303.mets,/repositories/3/digital_objects/42493
,http://findingaids.princeton.edu/folders/MC104.3/c00304.mets,/repositories/3/digital_objects/42494
,http://findingaids.princeton.edu/folders/MC104.3/c00305.mets,/repositories/3/digital_objects/42495
,http://findingaids.princeton.edu/folders/MC104.3/c00306.mets,/repositories/3/digital_objects/42496
