blank,repo,tc_type,tc_indicator,location,profile,restriction,ils_holding_id,aos,string
,3,box,266,/locations/23652,/container_profiles/3,Open,MC165_add31,/repositories/3/archival_objects/359154,MC165_box_266
,3,box,267,/locations/23652,/container_profiles/3,Open,MC165_add32,/repositories/3/archival_objects/359154,MC165_box_267
,3,box,271,/locations/23652,/container_profiles/3,Open,MC165_add33,/repositories/3/archival_objects/359155,MC165_box_271
,3,box,277,/locations/23652,/container_profiles/3,Open,MC165_add34,/repositories/3/archival_objects/359156,MC165_box_277
,3,box,278,/locations/23652,/container_profiles/3,Open,MC165_add35,/repositories/3/archival_objects/359156,MC165_box_278
,3,box,284,/locations/23652,/container_profiles/3,Open,MC165_add36,/repositories/3/archival_objects/359160,MC165_box_284
,3,box,287,/locations/23652,/container_profiles/3,Open,MC165_add37,/repositories/3/archival_objects/359162,MC165_box_287
,3,box,301,/locations/23652,/container_profiles/3,Open,MC165_add38,/repositories/3/archival_objects/359167,MC165_box_301
,3,box,302,/locations/23652,/container_profiles/3,Open,MC165_add39,/repositories/3/archival_objects/359167,MC165_box_302
,3,box,307,/locations/23652,/container_profiles/3,Open,MC165_add40,/repositories/3/archival_objects/359169,MC165_box_307
,3,box,309,/locations/23652,/container_profiles/3,Open,MC165_add41,/repositories/3/archival_objects/359170,MC165_box_309
,3,box,311,/locations/23652,/container_profiles/3,Open,MC165_add42,/repositories/3/archival_objects/359171,MC165_box_311
,3,box,328,/locations/23652,/container_profiles/3,Open,MC165_add43,/repositories/3/archival_objects/359187,MC165_box_328
,3,box,329,/locations/23652,/container_profiles/3,Open,MC165_add44,/repositories/3/archival_objects/359187,MC165_box_329
,3,box,332,/locations/23652,/container_profiles/3,Open,MC165_add45,/repositories/3/archival_objects/359189,MC165_box_332
,3,box,339,/locations/23652,/container_profiles/3,Open,MC165_add46,/repositories/3/archival_objects/359195,MC165_box_339
,3,box,341,/locations/23652,/container_profiles/3,Open,MC165_add47,/repositories/3/archival_objects/359196,MC165_box_341
,3,box,342,/locations/23652,/container_profiles/3,Open,MC165_add48,/repositories/3/archival_objects/359196,MC165_box_342
,3,box,358,/locations/23652,/container_profiles/3,Open,MC165_add49,/repositories/3/archival_objects/359210,MC165_box_358
,3,box,359,/locations/23652,/container_profiles/3,Open,MC165_add50,/repositories/3/archival_objects/359210,MC165_box_359
,3,box,380,/locations/23652,/container_profiles/3,Open,MC165_add51,/repositories/3/archival_objects/359230,MC165_box_380
,3,box,381,/locations/23652,/container_profiles/3,Open,MC165_add52,/repositories/3/archival_objects/359230,MC165_box_381
,3,box,413,/locations/23652,/container_profiles/3,Open,MC165_add53,/repositories/3/archival_objects/359259,MC165_box_413
,3,box,418,/locations/23652,/container_profiles/3,Open,MC165_add54,/repositories/3/archival_objects/359263,MC165_box_418
,3,box,421,/locations/23652,/container_profiles/3,Open,MC165_add55,/repositories/3/archival_objects/359265,MC165_box_421
