blank,aos,repo,eadid,tc_type,tc_indicator,,string,location,profile,restriction,helper,ils_holding_id
,"/repositories/3/archival_objects/521103, /repositories/3/archival_objects/521104, /repositories/3/archival_objects/521105, /repositories/3/archival_objects/521106, /repositories/3/archival_objects/521107, /repositories/3/archival_objects/521108, /repositories/3/archival_objects/521109, /repositories/3/archival_objects/521110, /repositories/3/archival_objects/521111, /repositories/3/archival_objects/521112, /repositories/3/archival_objects/521113, /repositories/3/archival_objects/521114, /repositories/3/archival_objects/521115, /repositories/3/archival_objects/521116, /repositories/3/archival_objects/521117, /repositories/3/archival_objects/521118, /repositories/3/archival_objects/521119, /repositories/3/archival_objects/521120, /repositories/3/archival_objects/521121, /repositories/3/archival_objects/521122, /repositories/3/archival_objects/521123, /repositories/3/archival_objects/521124, /repositories/3/archival_objects/521125, /repositories/3/archival_objects/521126, /repositories/3/archival_objects/521127, /repositories/3/archival_objects/521128, /repositories/3/archival_objects/521129, /repositories/3/archival_objects/521130, /repositories/3/archival_objects/521131, /repositories/3/archival_objects/521132, /repositories/3/archival_objects/521133, /repositories/3/archival_objects/521134, /repositories/3/archival_objects/521135, /repositories/3/archival_objects/521136, /repositories/3/archival_objects/521137, /repositories/3/archival_objects/521138, /repositories/3/archival_objects/521139, /repositories/3/archival_objects/521140, /repositories/3/archival_objects/521141, /repositories/3/archival_objects/521142, /repositories/3/archival_objects/521143, /repositories/3/archival_objects/521144, /repositories/3/archival_objects/521145, /repositories/3/archival_objects/521146, /repositories/3/archival_objects/521147, /repositories/3/archival_objects/521148, /repositories/3/archival_objects/521149, /repositories/3/archival_objects/521150, /repositories/3/archival_objects/521151, /repositories/3/archival_objects/521152, /repositories/3/archival_objects/521153, /repositories/3/archival_objects/521154, /repositories/3/archival_objects/521155, /repositories/3/archival_objects/521156, /repositories/3/archival_objects/521157, /repositories/3/archival_objects/521158, /repositories/3/archival_objects/521159, /repositories/3/archival_objects/521160, /repositories/3/archival_objects/521161, /repositories/3/archival_objects/521162, /repositories/3/archival_objects/521163, /repositories/3/archival_objects/521164, /repositories/3/archival_objects/521165, /repositories/3/archival_objects/521166, /repositories/3/archival_objects/521167, /repositories/3/archival_objects/521168, /repositories/3/archival_objects/521169, /repositories/3/archival_objects/521170, /repositories/3/archival_objects/521171, /repositories/3/archival_objects/521172, /repositories/3/archival_objects/521173, /repositories/3/archival_objects/521174, /repositories/3/archival_objects/521175, /repositories/3/archival_objects/521176, /repositories/3/archival_objects/521177, /repositories/3/archival_objects/521178, /repositories/3/archival_objects/521179, /repositories/3/archival_objects/521180, /repositories/3/archival_objects/521181, /repositories/3/archival_objects/521182, /repositories/3/archival_objects/521183, /repositories/3/archival_objects/521184, /repositories/3/archival_objects/521185, /repositories/3/archival_objects/521186, /repositories/3/archival_objects/521187, /repositories/3/archival_objects/521188",3,MC006,box,734,,MC006_box_734,/locations/23649,/container_profiles/3,Open,249,MC006_add249
,"/repositories/3/archival_objects/521103, /repositories/3/archival_objects/521104, /repositories/3/archival_objects/521105, /repositories/3/archival_objects/521106, /repositories/3/archival_objects/521107, /repositories/3/archival_objects/521108, /repositories/3/archival_objects/521109, /repositories/3/archival_objects/521110, /repositories/3/archival_objects/521111, /repositories/3/archival_objects/521112, /repositories/3/archival_objects/521113, /repositories/3/archival_objects/521114, /repositories/3/archival_objects/521115, /repositories/3/archival_objects/521116, /repositories/3/archival_objects/521117, /repositories/3/archival_objects/521118, /repositories/3/archival_objects/521119, /repositories/3/archival_objects/521120, /repositories/3/archival_objects/521121, /repositories/3/archival_objects/521122, /repositories/3/archival_objects/521123, /repositories/3/archival_objects/521124, /repositories/3/archival_objects/521125, /repositories/3/archival_objects/521126, /repositories/3/archival_objects/521127, /repositories/3/archival_objects/521128, /repositories/3/archival_objects/521129, /repositories/3/archival_objects/521130, /repositories/3/archival_objects/521131, /repositories/3/archival_objects/521132, /repositories/3/archival_objects/521133, /repositories/3/archival_objects/521134, /repositories/3/archival_objects/521135, /repositories/3/archival_objects/521136, /repositories/3/archival_objects/521137, /repositories/3/archival_objects/521138, /repositories/3/archival_objects/521139, /repositories/3/archival_objects/521140, /repositories/3/archival_objects/521141, /repositories/3/archival_objects/521142, /repositories/3/archival_objects/521143, /repositories/3/archival_objects/521144, /repositories/3/archival_objects/521145, /repositories/3/archival_objects/521146, /repositories/3/archival_objects/521147, /repositories/3/archival_objects/521148, /repositories/3/archival_objects/521149, /repositories/3/archival_objects/521150, /repositories/3/archival_objects/521151, /repositories/3/archival_objects/521152, /repositories/3/archival_objects/521153, /repositories/3/archival_objects/521154, /repositories/3/archival_objects/521155, /repositories/3/archival_objects/521156, /repositories/3/archival_objects/521157, /repositories/3/archival_objects/521158, /repositories/3/archival_objects/521159, /repositories/3/archival_objects/521160, /repositories/3/archival_objects/521161, /repositories/3/archival_objects/521162, /repositories/3/archival_objects/521163, /repositories/3/archival_objects/521164, /repositories/3/archival_objects/521165, /repositories/3/archival_objects/521166, /repositories/3/archival_objects/521167, /repositories/3/archival_objects/521168, /repositories/3/archival_objects/521169, /repositories/3/archival_objects/521170, /repositories/3/archival_objects/521171, /repositories/3/archival_objects/521172, /repositories/3/archival_objects/521173, /repositories/3/archival_objects/521174, /repositories/3/archival_objects/521175, /repositories/3/archival_objects/521176, /repositories/3/archival_objects/521177, /repositories/3/archival_objects/521178, /repositories/3/archival_objects/521179, /repositories/3/archival_objects/521180, /repositories/3/archival_objects/521181, /repositories/3/archival_objects/521182, /repositories/3/archival_objects/521183, /repositories/3/archival_objects/521184, /repositories/3/archival_objects/521185, /repositories/3/archival_objects/521186, /repositories/3/archival_objects/521187, /repositories/3/archival_objects/521188",3,MC006,box,735,,MC006_box_735,/locations/23649,/container_profiles/3,Open,250,MC006_add250
,"/repositories/3/archival_objects/521189, /repositories/3/archival_objects/521190, /repositories/3/archival_objects/521191, /repositories/3/archival_objects/521192, /repositories/3/archival_objects/521193, /repositories/3/archival_objects/521194, /repositories/3/archival_objects/521195, /repositories/3/archival_objects/528384, /repositories/3/archival_objects/528385, /repositories/3/archival_objects/521197, /repositories/3/archival_objects/521198, /repositories/3/archival_objects/521199, /repositories/3/archival_objects/521200, /repositories/3/archival_objects/521201, /repositories/3/archival_objects/521202, /repositories/3/archival_objects/521203, /repositories/3/archival_objects/521204, /repositories/3/archival_objects/521205, /repositories/3/archival_objects/521206, /repositories/3/archival_objects/521207, /repositories/3/archival_objects/521208, /repositories/3/archival_objects/521209, /repositories/3/archival_objects/521210, /repositories/3/archival_objects/521211, /repositories/3/archival_objects/521212, /repositories/3/archival_objects/521213, /repositories/3/archival_objects/521214, /repositories/3/archival_objects/521215, /repositories/3/archival_objects/521216, /repositories/3/archival_objects/521217, /repositories/3/archival_objects/521218, /repositories/3/archival_objects/521219",3,MC006,box,739,,MC006_box_739,/locations/23649,/container_profiles/3,Open,251,MC006_add251
,"/repositories/3/archival_objects/521189, /repositories/3/archival_objects/521190, /repositories/3/archival_objects/521191, /repositories/3/archival_objects/521192, /repositories/3/archival_objects/521193, /repositories/3/archival_objects/521194, /repositories/3/archival_objects/521195, /repositories/3/archival_objects/528384, /repositories/3/archival_objects/528385, /repositories/3/archival_objects/521197, /repositories/3/archival_objects/521198, /repositories/3/archival_objects/521199, /repositories/3/archival_objects/521200, /repositories/3/archival_objects/521201, /repositories/3/archival_objects/521202, /repositories/3/archival_objects/521203, /repositories/3/archival_objects/521204, /repositories/3/archival_objects/521205, /repositories/3/archival_objects/521206, /repositories/3/archival_objects/521207, /repositories/3/archival_objects/521208, /repositories/3/archival_objects/521209, /repositories/3/archival_objects/521210, /repositories/3/archival_objects/521211, /repositories/3/archival_objects/521212, /repositories/3/archival_objects/521213, /repositories/3/archival_objects/521214, /repositories/3/archival_objects/521215, /repositories/3/archival_objects/521216, /repositories/3/archival_objects/521217, /repositories/3/archival_objects/521218, /repositories/3/archival_objects/521219",3,MC006,box,740,,MC006_box_740,/locations/23649,/container_profiles/3,Open,252,MC006_add252
,/repositories/3/archival_objects/520227,3,MC047,box,10,,MC047_box_10,/locations/23649,/container_profiles/3,Open,253,MC047_add253
,/repositories/3/archival_objects/520233,3,MC047,box,15,,MC047_box_15,/locations/23649,/container_profiles/3,Open,254,MC047_add254
,/repositories/3/archival_objects/520233,3,MC047,box,16,,MC047_box_16,/locations/23649,/container_profiles/3,Open,255,MC047_add255
,/repositories/3/archival_objects/520217,3,MC047,box,38,,MC047_box_38,/locations/23649,/container_profiles/3,Open,256,MC047_add256
,/repositories/3/archival_objects/520217,3,MC047,box,39,,MC047_box_39,/locations/23649,/container_profiles/3,Open,257,MC047_add257
,/repositories/3/archival_objects/520217,3,MC047,box,40,,MC047_box_40,/locations/23649,/container_profiles/3,Open,258,MC047_add258
,/repositories/3/archival_objects/520217,3,MC047,box,41,,MC047_box_41,/locations/23649,/container_profiles/3,Open,259,MC047_add259
,/repositories/3/archival_objects/520217,3,MC047,box,42,,MC047_box_42,/locations/23649,/container_profiles/3,Open,260,MC047_add260
,/repositories/3/archival_objects/520217,3,MC047,box,43,,MC047_box_43,/locations/23649,/container_profiles/3,Open,261,MC047_add261
